MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
16		0.00626			1	11		5	2012	0.022	
16		0.009054348			1	31		3	2012	0.026	
16		0.018759615			1	6		11	2012	0.098	
16		0.015711538			1	16		10	2012	0.06	
16		0.0094			1	10		9	2012	0.038	
16		0.01875			1	16		2	2012	0.04	
16		0.017293478			1	9		1	2012	0.093	
16		0.012807692			1	5		8	2013	0.043	
16		0.011211538			1	24		4	2013	0.029	
16		0.012608696			1	10		12	2013	0.034	
16		0.006913462			1	31		7	2013	0.021	
16		0.01017			1	4		6	2013	0.026	
16		0.010572917			1	10		5	2013	0.026	
16		0.015011364			1	12		3	2013	0.059	
16		0.017221154			1	8		11	2013	0.067	
16		0.014144231			1	9		10	2013	0.048	
16		0.01017			1	6		9	2013	0.031	
16		0.013447917			1	20		2	2013	0.031	
16		0.014322917			1	4		1	2013	0.035	
16		0.010626			1	15		8	2014	0.026	
16		0.006788462			1	30		4	2014	0.043	
16		0.011447917			1	22		12	2014	0.036	
16		0.014028846			1	11		7	2014	0.055	
16		0.01001			1	30		6	2014	0.036	
16		0.00925			1	14		5	2014	0.082	
16		0.007681818			1	29		3	2014	0.023	
16		0.01504			1	28		11	2014	0.048	
16		0.012855769			1	11		10	2014	0.042	
16		0.010971154			1	15		9	2014	0.033	
16		0.015364583			1	18		2	2014	0.043	
16		0.011375			1	25		1	2014	0.042	
16		0.01248			1	4		8	2015	0.032	
16		0.009038462			1	7		4	2015	0.024	
16		0.017020833			1	28		12	2015	0.11	
16		0.011336538			1	8		7	2015	0.03	
16		0.009711538			1	18		6	2015	0.038	
16		0.012293478			1	21		5	2015	0.043	
16		0.014386364			1	6		3	2015	0.055	
16		0.01364			1	30		11	2015	0.069	
16		0.009186111			1	31		10	2015	0.02	
16		0.01174			1	2		9	2015	0.063	
16		0.012971875			1	6		2	2015	0.059	
16		0.01050625			1	31		1	2015	0.036	
16		0.011903846			1	6		8	2016	0.049	
16		0.014125			1	30		4	2016	0.045	
16		0.011614583			1	5		12	2016	0.025	
16		0.01585			1	5		7	2016	0.062	
16		0.017375			1	6		6	2016	0.048	
16		0.013858696			1	6		5	2016	0.045	
16		0.01626087			1	7		3	2016	0.052	
16		0.011923077			1	24		11	2016	0.052	
16		0.013519231			1	22		10	2016	0.043	
16		0.01573			1	22		9	2016	0.075	
16		0.02084			1	24		2	2016	0.065	
16		0.014326087			1	15		1	2016	0.038	
16		0.010009615			1	3		8	2017	0.034	
16		0.01343			1	5		4	2017	0.059	
16		0.01342			1	18		7	2017	0.048	
16		0.010134615			1	12		6	2017	0.06	
16		0.014520833			1	15		5	2017	0.039	
16		0.009315217			1	1		3	2017	0.028	
16		0.003775			1	13		10	2017	0.018	
16		0.00724			1	21		9	2017	0.05	
16		0.009058333			1	7		2	2017	0.03	
16		0.014456522			1	16		1	2017	0.05	
17		0.82			1	11		8	2007	5	
17		1.333333333			1	5		4	2007	6	
17		3.054347826			1	31		12	2007	11	
17		0.663461538			1	31		7	2007	2	
17		0.625			1	23		6	2007	2	
17		0.886597938			1	17		5	2007	7	
17		2.61			1	5		3	2007	10	
17		1.221153846			1	30		11	2007	4	
17		0.826923077			1	3		10	2007	3	
17		0.722772277			1	26		9	2007	2	
17		3.635416667			1	8		2	2007	14	
17		4.545454546			1	23		1	2007	16	
17		0.72			1	20		8	2008	3	
17		1.115384615			1	17		4	2008	4	
17		4.59375			1	13		12	2008	10	
17		0.634615385			1	28		7	2008	2	
17		0.53			1	21		6	2008	2	
17		0.587628866			1	31		5	2008	2	
17		1.958333333			1	11		3	2008	5	
17		3.79			1	1		11	2008	14	
17		1.808080808			1	3		10	2008	7	
17		1.479			1	9		9	2008	4.8	
17		2.94			1	13		2	2008	10	
17		4.538461539			1	26		1	2008	11	
17		1.1			1	3		8	2009	5	
17		6.574257426			1	14		4	2009	21	
17		5.44			1	15		12	2009	18	
17		1.663461539			1	31		7	2009	3	
17		3.25			1	8		6	2009	10	
17		5.27173913			1	13		5	2009	10	
17		5.552083333			1	3		3	2009	11	
17		1.7			1	11		11	2009	10	
17		2.064814815			1	15		10	2009	10	
17		1.6375			1	12		9	2009	7.2	
17		6.010416667			1	19		2	2009	12	
17		7.19673913			1	27		1	2009	15	
17		1.35			1	26		8	2010	4	
17		1.240384615			1	2		4	2010	7	
17		4.24			1	9		12	2010	20	
17		1.182692308			1	3		7	2010	3	
17		1.182692308			1	19		6	2010	8	
17		1.173913044			1	13		5	2010	3	
17		2.619565217			1	9		3	2010	9	
17		3.47			1	26		11	2010	12	
17		1.836538462			1	11		10	2010	5	
17		1.288461539			1	6		9	2010	5	
17		4.15625			1	2		2	2010	12	
17		5.840909091			1	28		1	2010	19	
17		1.384615385			1	22		4	2011	6	
17		3.32			1	24		12	2011	19	
17		1.31			1	29		7	2011	3	
17		1.269230769			1	6		6	2011	3	
17		1.239583333			1	14		5	2011	3	
17		2.565217391			1	10		3	2011	11	
17		2.644230769			1	17		11	2011	16	
17		1.865384615			1	17		10	2011	9	
17		1.403846154			1	30		9	2011	4	
17		2.84375			1	15		2	2011	8	
17		5.065217391			1	10		1	2011	15	
17		1.375			1	31		8	2012	3	
17		1.23			1	12		4	2012	5	
17		5.326086957			1	31		12	2012	17	
17		1.39			1	5		7	2012	3	
17		1.288461539			1	30		6	2012	3	
17		1.16			1	2		5	2012	2	
17		1.717391304			1	16		3	2012	8	
17		2.740384615			1	28		11	2012	12	
17		1.894230769			1	20		10	2012	7	
17		1.63			1	26		9	2012	6	
17		3.72			1	17		2	2012	10	
17		4.282608696			1	11		1	2012	13	
17		1.221153846			1	2		8	2013	3	
17		1.423076923			1	17		4	2013	4	
17		3.545978261			1	4		12	2013	10	
17		1.326923077			1	3		7	2013	3	
17		1.38			1	25		6	2013	5	
17		1.135416667			1	18		5	2013	3	
17		2.238636364			1	6		3	2013	7	
17		3.817307692			1	25		11	2013	14	
17		1.875			1	25		10	2013	7	
17		1.62			1	24		9	2013	7	
17		3.8125			1	21		2	2013	13	
17		5.34375			1	8		1	2013	27	
17		2.08			1	29		8	2014	4	
17		1.701923077			1	10		4	2014	5	
17		5.427083333			1	6		12	2014	13	
17		2			1	11		7	2014	5	
17		2.03			1	25		6	2014	9	
17		1.677083333			1	29		5	2014	4	
17		3.397727273			1	6		3	2014	10	
17		3.15			1	14		11	2014	9	
17		2.625			1	6		10	2014	9	
17		2.106730769			1	25		9	2014	6	
17		3.502083333			1	18		2	2014	12	
17		3.489583333			1	13		1	2014	9	
17		2.48			1	5		8	2015	8	
17		1.903846154			1	2		4	2015	5	
17		4.602083333			1	15		12	2015	12	
17		2.778846154			1	16		7	2015	8	
17		1.980769231			1	5		6	2015	5	
17		1.760869565			1	6		5	2015	4	
17		1.704545455			1	7		3	2015	6	
17		2.414141414			1	28		11	2015	10	
17		1.950925926			1	10		10	2015	6	
17		1.85			1	1		9	2015	6	
17		3.46875			1	6		2	2015	11	
17		4.291666667			1	3		1	2015	11	
17		0.764423077			1	1		8	2016	2	
17		1.25			1	22		4	2016	4	
17		2.010416667			1	26		12	2016	12	
17		1.22			1	4		7	2016	4	
17		1.634615385			1	10		6	2016	4	
17		1.27173913			1	10		5	2016	3	
17		1.869565217			1	5		3	2016	9	
17		1.769230769			1	28		11	2016	9	
17		1.192307692			1	31		10	2016	4	
17		1.09			1	2		9	2016	3	
17		2.962			1	5		2	2016	8	
17		3.239130435			1	8		1	2016	11	
17		0.5025			1	15		8	2017	2	
17		0.62			1	3		4	2017	2	
17		0.47			1	1		7	2017	1	
17		0.461538462			1	21		6	2017	2	
17		0.592708333			1	5		5	2017	2	
17		0.89673913			1	1		3	2017	3.5	
17		1.173076923			1	12		10	2017	4	
17		0.602			1	4		9	2017	2	
17		1.84375			1	16		2	2017	8	
17		1.967391304			1	19		1	2017	8	
15		0.00066			1	9		8	2007	0.003	
15		0.000575758			1	21		4	2007	0.004	
15		0.00123913			1	31		12	2007	0.006	
15		0.000471154			1	3		7	2007	0.002	
15		0.000894231			1	25		6	2007	0.005	
15		0.001092784			1	14		5	2007	0.006	
15		0.00069			1	11		3	2007	0.006	
15		0.001125			1	29		11	2007	0.004	
15		0.000759615			1	31		10	2007	0.004	
15		0.000920792			1	12		9	2007	0.006	
15		0.000822917			1	20		2	2007	0.002	
15		0.001646465			1	22		1	2007	0.008	
15		0.00114			1	15		8	2008	0.006	
15		0.000740385			1	22		4	2008	0.006	
15		0.00134375			1	4		12	2008	0.007	
15		0.000596154			1	31		7	2008	0.001	
15		0.000767677			1	30		6	2008	0.002	
15		0.000896907			1	3		5	2008	0.007	
15		0.000697917			1	19		3	2008	0.003	
15		0.00112			1	18		11	2008	0.008	
15		0.001121212			1	2		10	2008	0.005	
15		0.00093			1	4		9	2008	0.005	
15		0.0019			1	2		2	2008	0.01	
15		0.001120879			1	3		1	2008	0.008	
15		0.00147			1	1		8	2009	0.005	
15		0.001079208			1	16		4	2009	0.007	
15		0.00212			1	11		12	2009	0.007	
15		0.001144231			1	17		7	2009	0.007	
15		0.001240385			1	30		6	2009	0.009	
15		0.000456522			1	16		5	2009	0.002	
15		0.001291667			1	26		3	2009	0.006	
15		0.001975			1	12		11	2009	0.012	
15		0.001148148			1	12		10	2009	0.008	
15		0.000961538			1	10		9	2009	0.005	
15		0.000958333			1	16		2	2009	0.004	
15		0.001945652			1	8		1	2009	0.005	
15		0.00059			1	31		8	2010	0.003	
15		0.000490385			1	6		4	2010	0.004	
15		0.00253			1	10		12	2010	0.008	
15		0.001134615			1	23		7	2010	0.007	
15		0.000817308			1	18		6	2010	0.008	
15		0.000445652			1	19		5	2010	0.003	
15		0.001445652			1	17		3	2010	0.008	
15		0.00143			1	11		11	2010	0.006	
